Data da colheita,Zona de produção,Produtoras de DSP
04/05/2015,RIAV4,80
04/05/2015,L3,240
05/05/2015,L6,20
05/05/2015,L6,60
05/05/2015,ESD1,40
05/05/2015,ESD1,20
05/05/2015,ESD2,20
05/05/2015,L7c,20
05/05/2015,L7c,40
05/05/2015,L7a,20
05/05/2015,POR2,20
05/05/2015,LAG,20
05/05/2015,L1,20
05/05/2015,ELM,120
05/05/2015,EMI,40
05/05/2015,EMI,20
05/05/2015,EMN2,40
05/05/2015,RIAV1,280
06/05/2015,LOB,20
06/05/2015,L5,20
06/05/2015,L5,200
06/05/2015,ETJ,20
06/05/2015,L5,120
06/05/2015,L3,20
06/05/2015,L2,20
05/05/2015,L1,20
06/05/2015,FAR1,100
06/05/2015,FAR2,40
06/05/2015,OLH3,20
06/05/2015,L8,20
06/05/2015,OLH1,20
06/05/2015,OLH2,80
06/05/2015,L8,120
05/05/2015,OLH5,20
11/05/2015,L5,800
11/05/2015,ETJ,20
11/05/2015,OLH3,20
11/05/2015,OLH2,20
11/05/2015,OLH1,20
11/05/2015,FUZ1,140
11/05/2015,L8,500
11/05/2015,TAV2,320
11/05/2015,VT1,20
11/05/2015,L9,160
11/05/2015,OLH5,20
11/05/2015,RIAV1,60
11/05/2015,RIAV2,1360
11/05/2015,RIAV3,1840
11/05/2015,RIAV4,40
11/05/2015,L3,20
11/05/2015,RIAV1,820
12/05/2015,L5,80
12/05/2015,LOB,20
12/05/2015,L6,20
12/05/2015,ESD1,20
12/05/2015,ESD1,20
12/05/2015,L6,20
12/05/2015,L2,3300
12/05/2015,L1,20
12/05/2015,EMI,20
12/05/2015,EMI,20
11/05/2015,ELM,20
11/05/2015,L1,20
11/05/2015,L2,20
13/05/2015,L5,460
12/05/2015,L1,20
13/05/2015,FAR2,20
13/05/2015,OLH4,20
13/05/2015,L7a,20
13/05/2015,L7c,240
13/05/2015,LAG,60
13/05/2015,POR2,40
12/05/2015,FAR1,20
13/05/2015,EMN2,20
18/05/2015,LAL,40
18/05/2015,ETJ,60
18/05/2015,L5,60
18/05/2015,TAV2,320
18/05/2015,VT1,20
19/05/2015,L8,300
18/05/2015,OLH5,40
18/05/2015,L9,60
18/05/2015,RIAV4,20
18/05/2015,L3,20
18/05/2015,RIAV1,40
18/05/2015,RIAV2,80
18/05/2015,RIAV3,20
18/05/2015,RIAV3,20
18/05/2015,ETJ,‐
19/05/2015,L5,20
19/05/2015,LOB,20
19/05/2015,L1,20
19/05/2015,EMI,20
19/05/2015,L6,20
19/05/2015,ESD1,20
19/05/2015,ESD1,‐
19/05/2015,ESD2,‐
19/05/2015,L6,20
18/05/2015,L1,20
18/05/2015,L2,20
19/05/2015,L7c,200
18/05/2015,L8,140
19/05/2015,LAG,20
19/05/2015,L7a,20
19/05/2015,POR2,20
18/05/2015,L7c,20
18/05/2015,RIAV1,20
19/05/2015,EMN2,20
20/05/2015,OLH3,60
20/05/2015,FAR1,20
20/05/2015,FAR2,20
20/05/2015,L8,40
20/05/2015,OLH1,20
19/05/2015,OLH4,20
20/05/2015,OLH2,20
20/05/2015,ELM,20
20/05/2015,EMR,20
21/05/2015,L5,20
21/05/2015,L1,20
25/05/2015,LAL,40
25/05/2015,ETJ,20
25/05/2015,L5,20
25/05/2015,FUZ1,20
25/05/2015,L8,80
25/05/2015,TAV2,20
25/05/2015,OLH2,60
25/05/2015,OLH3,20
25/05/2015,OLH4,20
25/05/2015,OLH5,20
25/05/2015,L8,100
25/05/2015,L9,40
25/05/2015,VT1,20
25/05/2015,OLH1,20
25/05/2015,RIAV1,20
25/05/2015,RIAV1,20
25/05/2015,RIAV2,20
25/05/2015,RIAV3,20
25/05/2015,RIAV4,20
25/05/2015,L3,20
26/05/2015,L5,20
26/05/2015,LOB,20
26/05/2015,ESD1,20
26/05/2015,ESD1,20
26/05/2015,L6,20
26/05/2015,L6,20
26/05/2015,LAG,20
26/05/2015,POR2,20
26/05/2015,L7c,140
26/05/2015,L7a,120
26/05/2015,L1,20
26/05/2015,EMI,40
26/05/2015,EMI,20
26/05/2015,ELM,20
25/05/2015,L1,20
25/05/2015,L2,20
27/05/2015,L5,20
26/05/2015,EMN2,20
26/05/2015,L7c,60
27/05/2015,L2,140
27/05/2015,FAR2,20
27/05/2015,L8,980
27/05/2015,FAR1,20
01/06/2015,LAL,80
02/06/2015,TAV2,40
01/06/2015,VT1,20
01/06/2015,L9,240
01/06/2015,OLH5,60
01/06/2015,FUZ1,120
01/06/2015,L8,40
01/06/2015,RIAV1,140
01/06/2015,RIAV2,80
01/06/2015,RIAV4,20
01/06/2015,RIAV1,20
01/06/2015,RIAV3,20
01/06/2015,L3,180
02/06/2015,L5,20
02/06/2015,LOB,20
02/06/2015,ESD1,20
02/06/2015,L6,560
02/06/2015,L6,20
02/06/2015,ESD2,20
02/06/2015,ESD1,20
02/06/2015,L7a,20
02/06/2015,L7c,20
02/06/2015,POR2,60
02/06/2015,LAG,120
02/06/2015,L7c,20
02/06/2015,L1,20
02/06/2015,ELM,20
02/06/2015,EMI,40
02/06/2015,EMI,20
01/06/2015,L2,20
01/06/2015,L1,20
02/06/2015,RIAV3,20
02/06/2015,EMN2,20
03/06/2015,ETJ,20
