Espécie,Zona de produção,Capitania,Data da colheita,Toxinas Lipofílicas
Ostra-gigante,POR3,Portimão,16/01/2018,25.3
Berbigão,OLH5,Olhão,17/01/2018,25.3
Conquilha,L9,VRSA,17/01/2018,25.3
Mexilhão,L7c,Lagos,17/01/2018,25.3
Mexilhão,TAV2,Tavira,18/01/2018,25.3
A. Boa,FAR2,Faro,19/01/2018,25.3
Mexilhão,FAR1,Faro,19/01/2018,25.3
Longueirão,L5b,Lisboa,21/01/2018,30.0
Conquilha,L5b,Lisboa,21/01/2018,39.0
Mexilhão,LAL,Setúbal,22/01/2018,25.3
Mexilhão,EMR,Sines,22/01/2018,46.0
Mexilhão,OLH4,Olhão,22/01/2018,25.3
A. Boa,OLH1,Olhão,22/01/2018,25.3
Pé-de-burrinho,L8,Olhão,22/01/2018,25.3
Pé-de-burrinho,L9,VRSA,22/01/2018,25.3
Mexilhão,OLH2,Olhão,22/01/2018,25.3
Mexilhão,OLH3,Olhão,22/01/2018,25.3
Mexilhão,TAV2,Tavira,22/01/2018,25.3
Berbigão,RIAV2,Aveiro,22/01/2018,25.3
Mexilhão,RIAV2,Aveiro,22/01/2018,25.3
Mexilhão,RIAV4,Aveiro,22/01/2018,25.3
Mexilhão,RIAV1,Aveiro,22/01/2018,20.0
Mexilhão,L3,Aveiro,22/01/2018,99.0
Lambujinha,ESD1,Setúbal,22/01/2018,25.3
Ostra-gigante,VT1,Tavira-VRSA,22/01/2018,25.3
Conquilha,L6,Setúbal,23/01/2018,16.0
Ostra-gigante,GUA,GUA,22/01/2018,25.3
A. Branca,L4,Nazaré,22/01/2018,25.3
Berbigão,LOB,Peniche,23/01/2018,25.3
Mexilhão,LOB,Peniche,23/01/2018,25.3
A. Japonesa,ESD2,Setúbal,23/01/2018,25.3
Mexilhão,ELM,V. Castelo,23/01/2018,25.3
A. Branca,L2,Douro,23/01/2018,25.3
Mexilhão,L2,Douro,22/01/2018,25.3
Mexilhão,L1,Caminha,23/01/2018,25.3
Ostra-portuguesa,EMR,Sines,22/01/2018,25.3
Mexilhão,ETJ,Lisboa,24/01/2018,23.0
Mexilhão,L5b,Lisboa,24/01/2018,82.0
Berbigão,EMN1,Fig. Foz,23/01/2018,25.3
A. Boa,FUZ1,Olhão,22/01/2018,25.3
Mexilhão,L7a,Lagos,23/01/2018,25.3
Mexilhão,POR2,Portimão,23/01/2018,25.3
Berbigão,RIAV1,Aveiro,23/01/2018,25.3
Berbigão,FAR2,Faro,23/01/2018,25.3
Berbigão,RIAV3,Aveiro,23/01/2018,25.3
Mexilhão,FAR1,Faro,23/01/2018,25.3
Ostra-gigante,L7b,Lagos-Portimão,23/01/2018,25.3
Ostra-gigante,POR3,Portimão,23/01/2018,25.3
Berbigão,OLH5,Olhão,24/01/2018,25.3
Mexilhão,L7c,Lagos,24/01/2018,25.3
Mexilhão,LAL,Setúbal,29/01/2018,25.3
Conquilha,L5b,Lisboa,29/01/2018,9.0
Berbigão,OLH5,Olhão,29/01/2018,25.3
Berbigão,RIAV3,Aveiro,29/01/2018,25.3
Mexilhão,RIAV2,Aveiro,29/01/2018,25.3
Mexilhão,RIAV1,Aveiro,29/01/2018,44.0
Berbigão,RIAV2,Aveiro,29/01/2018,25.3
Berbigão,RIAV1,Aveiro,29/01/2018,25.3
Mexilhão,OLH2,Olhão,29/01/2018,25.3
Mexilhão,LOB,Peniche,29/01/2018,25.3
Berbigão,LOB,Peniche,29/01/2018,25.3
A. Japonesa,ESD2,Setúbal,30/01/2018,25.3
Ameijola,L6,Setúbal,30/01/2018,25.3
A. Branca,L2,Douro,29/01/2018,25.3
Mexilhão,L2,Douro,30/01/2018,25.3
Lambujinha,EMN2,Fig. Foz,30/01/2018,25.3
Berbigão,EMN1,Fig. Foz,30/01/2018,25.3
A. Branca,L3,Aveiro,30/01/2018,25.3
Mexilhão,EMN1,Fig. Foz,30/01/2018,25.3
Mexilhão,POR2,Portimão,30/01/2018,25.3
Mexilhão,L7a,Lagos,30/01/2018,25.3
Mexilhão,LAG,Lagos,30/01/2018,25.3
Mexilhão,L7c,Lagos,29/01/2018,25.3
Ostra-gigante,POR3,Portimão,30/01/2018,25.3
Mexilhão,ETJ,Lisboa,01/02/2018,25.3
Mexilhão,L5b,Lisboa,01/02/2018,16.0
A. Boa,FUZ1,Olhão,31/01/2018,25.3
Conquilha,L8,Olhão,31/01/2018,25.3
Mexilhão,TAV2,Tavira,31/01/2018,25.3
Mexilhão,FAR1,Faro,31/01/2018,25.3
Ostra-gigante,VT1,Tavira-VRSA,31/01/2018,25.3
Ostra-gigante,GUA,GUA,31/01/2018,25.3
Conquilha,L9,VRSA,01/02/2018,25.3
Mexilhão,L7c,Lagos,01/02/2018,25.3
Mexilhão,LAL,Setúbal,05/02/2018,25.3
Mexilhão,EMR,Sines,05/02/2018,25.3
Mexilhão,RIAV1,Aveiro,05/02/2018,25.3
A. Boa,OLH1,Olhão,05/02/2018,25.3
Mexilhão,RIAV2,Aveiro,05/02/2018,25.3
Mexilhão,RIAV4,Aveiro,05/02/2018,25.3
Mexilhão,L3,Aveiro,05/02/2018,107.0
Berbigão,RIAV2,Aveiro,05/02/2018,25.3
Mexilhão,OLH4,Olhão,05/02/2018,25.3
Mexilhão,TAV2,Tavira,05/02/2018,25.3
Mexilhão,OLH2,Olhão,05/02/2018,25.3
Mexilhão,OLH3,Olhão,05/02/2018,25.3
Mexilhão,LOB,Peniche,06/02/2018,25.3
Mexilhão,L5a,Lisboa,05/02/2018,18.0
Berbigão,LOB,Peniche,06/02/2018,25.3
Mexilhão,L6,Setúbal,05/02/2018,25.3
Ostra-gigante,GUA,GUA,05/02/2018,25.3
Mexilhão,L7c,Lagos,05/02/2018,25.3
Mexilhão,L2,Douro,05/02/2018,25.3
A. Branca,L2,Douro,06/02/2018,25.3
Mexilhão,L1,Caminha,06/02/2018,25.3
A. Japonesa,ETJ,Lisboa,06/02/2018,25.3
Ostra-gigante,VT1,Tavira-VRSA,05/02/2018,25.3
Berbigão,RIAV1,Aveiro,06/02/2018,25.3
Berbigão,RIAV3,Aveiro,06/02/2018,25.3
Mexilhão,L4,Nazaré,06/02/2018,27.0
Berbigão,EMN1,Fig. Foz,06/02/2018,25.3
Mexilhão,LAG,Lagos,06/02/2018,25.3
Ostra-gigante,L7b,Lagos-Portimão,06/02/2018,25.3
Ostra-gigante,POR3,Portimão,06/02/2018,25.3
A. Boa,FUZ1,Olhão,07/02/2018,25.3
Mexilhão,L7c,Lagos,07/02/2018,25.3
Mexilhão,L5b,Lisboa,09/02/2018,29.0
Mexilhão,ETJ,Lisboa,09/02/2018,25.3
Mexilhão,LAL,Setúbal,12/02/2018,25.3
A. Branca,L4,Nazaré,14/02/2018,25.3
Mexilhão,OLH3,Olhão,12/02/2018,25.3
Mexilhão,OLH4,Olhão,12/02/2018,25.3
Mexilhão,FAR1,Faro,12/02/2018,25.3
Berbigão,FAR2,Faro,12/02/2018,25.3
Mexilhão,LOB,Peniche,14/02/2018,25.3
Berbigão,LOB,Peniche,14/02/2018,25.3
Conquilha,L6,Setúbal,14/02/2018,33.0
A. Japonesa,ESD2,Setúbal,14/02/2018,25.3
