N.ºamostra,Data da colheita,Zona de produção,DSP
543,24/03/2015,ESD1,20
544,24/03/2015,ESD1,20
545,24/03/2015,L6,20
546,24/03/2015,POR2,20
547,23/03/2015,OLH4,20
548,24/03/2015,L7c,20
549,24/03/2015,LAG,20
550,24/03/2015,L7a,220
551,24/03/2015,L7c,4420
552,24/03/2015,OLH5,220
553,24/03/2015,EMN2,20
554,24/03/2015,EMI,20
555,24/03/2015,EMI,20
556,24/03/2015,ELM,20
557,24/03/2015,L1,20
558,23/03/2015,L1,20
559,23/03/2015,L2,20
560,25/03/2015,ETJ,20
561,25/03/2015,L5,20
562,25/03/2015,OLH2,20
563,25/03/2015,OLH3,20
564,25/03/2015,FAR1,20
565,30/03/2015,ETJ,20
566,30/03/2015,LAL,20
567,30/03/2015,L9,20
568,30/03/2015,VT1,20
569,30/03/2015,TAV2,20
570,30/03/2015,FUZ1,420
571,30/03/2015,OLH2,20
572,30/03/2015,OLH3,1220
573,30/03/2015,EMN2,20
574,30/03/2015,L2,20
575,30/03/2015,L1,20
576,30/03/2015,L1,20
577,30/03/2015,ELM,620
578,30/03/2015,L5,20
579,31/03/2015,ETJ,20
580,31/03/2015,FAR2,20
581,30/03/2015,OLH4,20
582,30/03/2015,L8,20
583,30/03/2015,L2,20
584,30/03/2015,LAL,20
585,30/03/2015,FUZ1,20
586,30/03/2015,FAR2,20
587,31/03/2015,L9,20
588,31/03/2015,TAV2,20
589,31/03/2015,L8,20
590,31/03/2015,VT1,420
591,31/03/2015,OLH2,20
592,31/03/2015,OLH1,20
593,31/03/2015,OLH3,20
594,31/03/2015,OLH5,20
595,31/03/2015,L5,20
596,31/03/2015,LOB,20
597,31/03/2015,RIAV1/L3,20
598,31/03/2015,RIAV2,20
599,31/03/2015,RIAV3,20
600,30/03/2015,RIAV4,20
601,30/03/2015,L3,20
602,30/03/2015,RIAV1,20
603,31/03/2015,L1,20
604,31/03/2015,EMI,20
605,31/03/2015,EMI,20
606,31/03/2015,ELM,20
607,01/04/2015,L5,20
608,02/04/2015,L5,20
609,02/04/2015,ETJ,220
610,06/04/2015,L5,220
611,06/04/2015,LAL,20
612,06/04/2015,EMR,20
613,06/04/2015,L8,420
614,06/04/2015,L9,20
615,06/04/2015,VT1,20
616,06/04/2015,TAV2,11820
617,06/04/2015,FUZ1,9620
618,06/04/2015,OLH5,420
619,06/04/2015,L8,18220
620,06/04/2015,FAR2,420
621,07/04/2015,L5,20
622,07/04/2015,LOB,20
623,06/04/2015,L3,220
624,06/04/2015,RIAV1,20
625,06/04/2015,RIAV2,420
626,06/04/2015,RIAV3,20
627,06/04/2015,RIAV1/L3,20
628,06/04/2015,RIAV4,20
629,07/04/2015,L6,20
630,07/04/2015,ESD1,20
631,07/04/2015,ESD2,20
632,07/04/2015,L6,20
633,07/04/2015,ESD1,20
634,07/04/2015,L7a,20
635,07/04/2015,L7c,42020
636,07/04/2015,POR2,20
637,07/04/2015,L7c,9820
638,07/04/2015,LAG,1620
639,06/04/2015,L1,20
640,06/04/2015,L2,20
641,07/04/2015,ELM,20
642,07/04/2015,L1,20
643,07/04/2015,EMI,20
644,07/04/2015,EMI,20
645,07/04/2015,EMN2,20
646,08/04/2015,L5,220
647,08/04/2015,ETJ,220
648,08/04/2015,L2,20
649,08/04/2015,OLH1,20
650,08/04/2015,OLH2,5820
651,08/04/2015,OLH3,620
652,07/04/2015,OLH4,220
653,08/04/2015,FAR1,620
654,13/04/2015,LAL,20
655,13/04/2015,L8,12820
656,13/04/2015,L8,72020
657,13/04/2015,OLH3,20
658,13/04/2015,OLH2,1220
659,13/04/2015,OLH1,20
660,13/04/2015,FUZ1,1820
661,13/04/2015,TAV2,7420
662,13/04/2015,VT1,220
663,13/04/2015,L9,220
664,13/04/2015,RIAV1/L3,420
665,13/04/2015,RIAV2,820
666,13/04/2015,RIAV3,420
667,13/04/2015,RIAV4,20
668,13/04/2015,L3,20
669,13/04/2015,RIAV1,820
670,14/04/2015,L5,220
671,14/04/2015,LOB,420
672,14/04/2015,L6,20
673,14/04/2015,L6,20
674,14/04/2015,ESD1,220
675,14/04/2015,ESD1,20
676,14/04/2015,ESD2,20
677,14/04/2015,L2,20
678,14/04/2015,L1,20
679,13/04/2015,L1,220
680,13/04/2015,EMI,20
681,13/04/2015,EMI,420
682,13/04/2015,ELM,20
683,13/04/2015,OLH5,1420
684,14/04/2015,L7c,29620
685,14/04/2015,POR2,22020
686,14/04/2015,LAG1,1620
687,14/04/2015,L7a,820
688,14/04/2015,EMN2,20
689,14/04/2015,L7c,1220
690,15/04/2015,L5,20
691,15/04/2015,ETJ,20
692,15/04/2015,OLH4,220
693,15/04/2015,FAR1,20
695,15/04/2015,FAR2,20
696,17/04/2015,L5,20
697,17/04/2015,ETJ,20
698,16/04/2015,L3,420
699,20/04/2015,LAL,420
700,20/04/2015,L5,20
701,20/04/2015,OLH1,20
702,20/04/2015,OLH2,20
703,20/04/2015,OLH4,20
704,20/04/2015,OLH5,20
705,20/04/2015,L8,20
706,20/04/2015,L8,20
707,20/04/2015,L9,420
708,20/04/2015,FUZ1,620
709,20/04/2015,VT1,20
710,20/04/2015,TAV2,6252
711,20/04/2015,RIAV1/L3,2220
712,20/04/2015,RIAV2,2820
713,20/04/2015,RIAV3,220
714,20/04/2015,RIAV4,420
715,20/04/2015,L3,62020
716,20/04/2015,RIAV1,420
717,21/04/2015,L5,20
718,21/04/2015,LOB,20
719,21/04/2015,L6,1202020
720,21/04/2015,ESD2,20
721,21/04/2015,ESD1,20
722,21/04/2015,ESD1,420
723,21/04/2015,L6,220
724,21/04/2015,L1,620
725,21/04/2015,L2,20
726,21/04/2015,EMI,23220
727,21/04/2015,EMI,1202020
728,21/04/2015,ELM,58420
729,21/04/2015,L1,1620
730,20/04/2015,L2,1620
731,20/04/2015,L1,3420
732,21/04/2015,L7c,12020
733,21/04/2015,L7a,20
734,21/04/2015,L7c,3420
735,21/04/2015,LAG,20
736,21/04/2015,POR2,220
737,21/04/2015,EMN2,20
738,20/04/2015,L8,1202020
739,21/04/2015,ETJ,20
740,22/04/2015,ETJ,20
741,22/04/2015,L5,20
742,22/04/2015,EMR,20
743,22/04/2015,OLH3,220
744,22/04/2015,FAR2,420
745,22/04/2015,FAR1,220
746,27/04/2015,LAL,20
747,27/04/2015,ETJ,20
748,27/04/2015,L5,1820
749,27/04/2015,ETJ,20
750,27/04/2015,FAR1,220
751,27/04/2015,L8,20
752,27/04/2015,OLH3,20
753,27/04/2015,L8,820
754,23/04/2015,L3,20
755,27/04/2015,L2,420
756,27/04/2015,L1,420
757,27/04/2015,L1,20
758,28/04/2015,LOB,20
759,28/04/2015,L5,220
760,27/04/2015,RIAV1,20
761,27/04/2015,RIAV2,20
762,27/04/2015,RIAV3,20
763,27/04/2015,RIAV4,20
764,27/04/2015,EMN2,20
765,28/04/2015,ESD2,20
766,28/04/2015,ESD1,20
767,28/04/2015,ESD1,20
768,28/04/2015,L6,62020
769,28/04/2015,L6,820
770,28/04/2015,POR2,220
771,28/04/2015,L7a,20
772,28/04/2015,LAG1,20
773,28/04/2015,L7c,420
774,28/04/2015,L7c,420
775,28/04/2015,ELM,1220
776,28/04/2015,EMI,420
777,28/04/2015,EMI,20
778,28/04/2015,L1,20
779,28/04/2015,RIAV1,420
780,28/04/2015,L3,420
781,29/04/2015,L5,620
782,28/04/2015,OLH4,20
783,29/04/2015,L9,20
784,29/04/2015,OLH1,20
785,29/04/2015,OLH2,12020
786,28/04/2015,OLH5,4620
787,29/04/2015,VT1,20
788,29/04/2015,TAV2,20
789,29/04/2015,FUZ1,620
790,29/04/2015,FAR2,20
791,28/04/2015,L8,20
792,04/05/2015,LAL,20
793,04/05/2015,L1,20
794,04/05/2015,L2,220
795,04/05/2015,FUZ1,1820
796,04/05/2015,TAV2,820
797,04/05/2015,VT1,220
798,04/05/2015,L9,220
799,04/05/2015,L8,1620
800,04/05/2015,OLH4,20
801,05/05/2015,L6,20
802,04/05/2015,RIAV1/L3,220
803,04/05/2015,RIAV2,20
804,04/05/2015,RIAV3,1620
805,04/05/2015,RIAV4,820
806,04/05/2015,L3,2420
807,05/05/2015,L6,20
808,05/05/2015,L6,620
809,05/05/2015,ESD1,420
810,05/05/2015,ESD1,20
811,05/05/2015,ESD2,20
812,05/05/2015,L7c,20
813,05/05/2015,L7c,420
814,05/05/2015,L7a,20
815,05/05/2015,POR2,20
816,05/05/2015,LAG,20
817,05/05/2015,L1,220
818,05/05/2015,ELM,1220
819,05/05/2015,EMI,420
820,05/05/2015,EMI,20
821,05/05/2015,EMN2,420
822,05/05/2015,RIAV1,2820
823,06/05/2015,LOB,20
824,06/05/2015,L5,20
825,06/05/2015,L5,22020
826,06/05/2015,ETJ,20
827,06/05/2015,L5,1220
828,06/05/2015,L3,20
829,06/05/2015,L2,20
830,05/05/2015,L1,20
831,06/05/2015,FAR1,12020
832,06/05/2015,FAR2,420
833,06/05/2015,OLH3,20
834,06/05/2015,L8,20
835,06/05/2015,OLH1,20
836,06/05/2015,OLH2,820
837,06/05/2015,L8,1220
838,05/05/2015,OLH5,220
839,11/05/2015,L5,82020
840,11/05/2015,ETJ,220
842,11/05/2015,OLH3,20
843,11/05/2015,OLH2,20
844,11/05/2015,OLH1,20
845,11/05/2015,FUZ1,1420
846,11/05/2015,L8,52020
847,11/05/2015,TAV2,3220
848,11/05/2015,VT1,220
849,11/05/2015,L9,1620
850,11/05/2015,OLH5,220
851,11/05/2015,RIAV1/L3,620
852,11/05/2015,RIAV2,13620
853,11/05/2015,RIAV3,18420
854,11/05/2015,RIAV4,420
855,11/05/2015,L3,20
856,11/05/2015,RIAV1,8220
857,12/05/2015,L5,820
858,12/05/2015,LOB,20
859,12/05/2015,L6,220
860,12/05/2015,ESD1,20
861,12/05/2015,ESD1,20
862,12/05/2015,L6,20
863,12/05/2015,L2,332020
864,12/05/2015,L1,20
865,12/05/2015,EMI,20
866,12/05/2015,EMI,20
867,11/05/2015,ELM,20
868,11/05/2015,L1,20
869,11/05/2015,L2,20
870,13/05/2015,L5,4620
871,12/05/2015,L1,20
872,13/05/2015,FAR2,220
873,13/05/2015,OLH4,20
874,13/05/2015,L7a,220
875,13/05/2015,L7c,2420
876,13/05/2015,LAG,620
877,13/05/2015,POR2,420
878,12/05/2015,FAR1,20
879,13/05/2015,EMN2,20
880,18/05/2015,LAL,420
881,18/05/2015,ETJ,620
882,18/05/2015,L5,620
883,18/05/2015,TAV2,3220
884,18/05/2015,VT1,220
887,19/05/2015,L8,32020
888,18/05/2015,OLH5,420
889,18/05/2015,L9,620
890,18/05/2015,RIAV4,20
891,18/05/2015,L3,20
892,18/05/2015,RIAV1/L3,420
893,18/05/2015,RIAV2,820
894,18/05/2015,RIAV3,20
895,18/05/2015,RIAV3,20
896,18/05/2015,ETJ,‐
897,19/05/2015,L5,20
898,19/05/2015,LOB,20
899,19/05/2015,L1,20
900,19/05/2015,EMI,20
901,19/05/2015,L6,20
902,19/05/2015,ESD1,20
903,19/05/2015,ESD1,20
904,19/05/2015,ESD2,20
905,19/05/2015,L6,20
906,18/05/2015,L1,20
907,18/05/2015,L2,20
908,19/05/2015,L7c,22020
909,18/05/2015,L8,1420
910,19/05/2015,LAG,220
911,19/05/2015,L7a,220
912,19/05/2015,POR2,20
913,18/05/2015,L7c,20
914,18/05/2015,RIAV1,20
915,19/05/2015,EMN2,20
916,20/05/2015,OLH3,620
917,20/05/2015,FAR1,20
918,20/05/2015,FAR2,20
919,20/05/2015,L8,420
920,20/05/2015,OLH1,20
921,19/05/2015,OLH4,20
922,20/05/2015,OLH2,20
923,20/05/2015,ELM,20
924,20/05/2015,EMR,20
